"",,,,,,,SMH,,,,,,
PRIMARY UNITS,,,,,,,,,,,,,
ACT-COPPY,31136,,18465,,2746,,6848,,7277,,31400,,72596,56,,6468,,-10405,,,..,,..,166587
BUD PROP,219558,,95187,,28394,,55629,,77677,,107733,,224173,586,,41390,,124282,,,..,,..,974609
ACT-BP,49502,,7860,,5210,,10486,,2320,,36165,,63318,-34,,4182,,110338,,,..,,..,289348
BG,675536,,4929948,,126172,,738654,,3138950,,310101,,2603679,2427,,216821,,2037391,,,..,,..,14779679
BG(SL),615382,,4352973,,110948,,649419,,2839861,,283094,,2384445,1714,,191999,,1870888,,,..,,..,13300723
ACT,735996,,3847185,,139714,,820144,,2619993,,307074,,2958003,1539,,184970,,1723695,,,..,,..,13338312
16 - TE COPPY,597771,,3827953,,111679,,724514,,2503532,,281345,,2755060,1431,,173705,,1706909,,,..,,..,12683901
ACT-COPPY,138225,,19232,,28034,,95630,,116460,,25728,,202943,108,,11265,,16786,,,..,,..,654412
BUD PROP,452227,,3126699,,79550,,463081,,2034258,,204440,,1698566,1159,,136477,,1366430,,,..,,..,9562887
ACT-BP,283769,,720486,,60164,,357063,,585735,,102634,,1259437,380,,48493,,357265,,,..,,..,3775425
"",,,,,,,,,,,SMH,,,,,,,,,,
PRIMARY UNITS,,,,,,,,,,,,,,,,,,,,,
"",01,02,03,,04,,05,,06,,07,08,,09,,10,10N,,11,,TOTAL
BG,8074,2711,279,,770,,139,,..,,1418,..,,645,,1433,,..,,..,15469
