Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
5003,484083,01-Jun-21,10621,30
5004,16014,01-Jun-21,10621,5213
5005,16095,01-Jun-21,10621,25009
5006,58508,01-Jun-21,10621,58508
5007,476203,01-Jun-21,10621,40220
5008,11334,01-Jun-21,10621,75
5009,35904,01-Jun-21,10621,170
5010,35903,01-Jun-21,10621,50
5011,11335,01-Jun-21,10621,360
5012,11336,01-Jun-21,10621,570
5013,96264,16-Jun-21,160621,45355
5014,96263,16-Jun-21,160621,70555
5015,42754,16-Jun-21,160621,824448
5016,5782,16-Jun-21,160621,425
5017,5783,16-Jun-21,160621,660
5018,5781,16-Jun-21,160621,375
5019,1235,16-Jun-21,160621,9235
5020,1249,16-Jun-21,160621,37440
5021,1234,16-Jun-21,160621,2260
5022,1233,16-Jun-21,160621,2685
5023,1248,16-Jun-21,160621,31430
5024,1247,16-Jun-21,160621,37930
5025,937700,16-Jun-21,160621,465
5026,17195,16-Jun-21,160621,17195
5027,17680,16-Jun-21,160621,17680
5028,1540,16-Jun-21,160621,1540
5029,5000022,02-Jun-21,20621,5705
5030,23656,30-Jun-21,300621,13550
5031,23657,30-Jun-21,300621,1859
5032,33553,30-Jun-21,300621,13230
5033,854651,30-Jun-21,300621,58260
5034,5645,30-Jun-21,300621,36535
5035,5646,30-Jun-21,300621,26450
5036,5647,30-Jun-21,300621,27200
5037,5648,30-Jun-21,300621,37245
5038,1212,21-Jun-21,210621,2510
5039,A639*543,21-Jun-21,210621,36265
5040,96268,21-Jun-21,210621,59055
5041,A42753,21-Jun-21,210621,386333
5042,42680,21-Jun-21,210621,4563
5043,A365006,21-Jun-21,210621,1975
5044,5787,21-Jun-21,210621,465
5045,1239,21-Jun-21,210621,4475
5046,1244,21-Jun-21,210621,32260
5047,1245,21-Jun-21,210621,61080
5048,18002,21-Jun-21,210621,17060
5049,IKD1388447,21-Jun-21,210621,107090
5050,23680,02-Jul-21,20721,20345
5051,35957,02-Jul-21,20721,46305
5052,5649,02-Jul-21,20721,31250
5053,5650,02-Jul-21,20721,49315
5054,108018,02-Jul-21,20721,2755
5055,76316,02-Jul-21,20721,14310
5056,76263,02-Jul-21,20721,20350
5057,77080,02-Jul-21,20721,1035
5058,104135,02-Jul-21,20721,36550
5059,8360,02-Jul-21,20721,8360
5060,22975,02-Jul-21,20721,22975
5061,30540,02-Jul-21,20721,30540
5062,70909,02-Jul-21,20721,75720
5063,5044347,09-Jul-21,90721,45535
5064,5044348,09-Jul-21,90721,501165
5065,5582,09-Jul-21,90721,35310
5066,83113,09-Jul-21,90721,871714
5067,108024,09-Jul-21,90721,1430
5068,76268,09-Jul-21,90721,20650
5069,76321,09-Jul-21,90721,12685
5070,77086,09-Jul-21,90721,1465
5071,104142,09-Jul-21,90721,35635
5072,5920,09-Jul-21,90721,5920
5073,37195,09-Jul-21,90721,37195
5074,6800,09-Jul-21,90721,6800
5075,16647,13-Jul-21,130721,835
5076,41593,13-Jul-21,130721,38725
5077,5583,13-Jul-21,130721,25620
5078,83114,13-Jul-21,130721,1379457
5079,76322,13-Jul-21,130721,13425
5080,76269,13-Jul-21,130721,19765
5081,21644,13-Jul-21,130721,79370
5082,60459,13-Jul-21,130721,6185
5083,70914,13-Jul-21,130721,47430
5084,70916,13-Jul-21,130721,7625
5085,70915,13-Jul-21,130721,78475
5086,70883,29-Jul-21,290721,47350
5087,A858006,29-Jul-21,290721,1830
5088,5256,29-Jul-21,290721,750
5089,15779,29-Jul-21,290721,106731
5090,66260,29-Jul-21,290721,112670
5091,A512445,29-Jul-21,290721,100000
5092,B512445,29-Jul-21,290721,1500000
5093,C512445,29-Jul-21,290721,100868
5094,D512445,29-Jul-21,290721,100868
5095,E512445,29-Jul-21,290721,1500000
5096,133226,29-Jul-21,290721,1277710
5097,42696,29-Jul-21,290721,295
5098,828563,29-Jul-21,290721,630
5099,63901,29-Jul-21,290721,96555
5100,IKD1163877,03-Apr-21,30421,394891
5101,44581,05-Apr-21,50421,44581
5102,937684,05-Apr-21,50421,885
5103,1000,05-Apr-21,50421,1000
5104,4999932,27-Apr-21,270421,11505
5105,4860322,27-Apr-21,270421,360
5106,41158,12-Apr-21,120421,616
5107,16636,12-Apr-21,120421,25775
5108,22717,12-Apr-21,120421,14025
5109,22718,12-Apr-21,120421,100000
5110,43117,12-Apr-21,120421,19990
5111,39332,12-Apr-21,120421,225
5112,22565,12-Apr-21,120421,1335
5113,39406,12-Apr-21,120421,11205
5114,39430,12-Apr-21,120421,16940
5115,5136258,12-Apr-21,120421,230
5116,19443,12-Apr-21,120421,540
5117,51392,12-Apr-21,120421,20755
5118,33305,12-Apr-21,120421,280
5119,49760,12-Apr-21,120421,10325
5120,10906,12-Apr-21,120421,4850
5121,484053,12-Apr-21,120421,12565
